,name,address,city,rigeon
128,광명소하점,경기 광명시 소하동 1323-1 103,경기,광명시
129,광명소하점(치킨앤비어),경기도 광명시 성채로50번길 9-12 101 (소하동),경기도,광명시
130,광명역점(올리브치킨),경기도 광명시 일직로12번길 11 (일직동) 1층 4호,경기도,광명시
131,광명철산점,경기 광명시 철산동 241-2 바상가106호,경기,광명시
132,광명철산푸르지오,"경기도 광명시 디지털로 24 (철산동, 철산푸르지오하 113동B125호",경기도,광명시
133,광명하안3점(8),서울 금천구 독산동 1100-3번지,서울,금천구
134,광명하안점,"경기도 광명시 가림로 54-11 (하안동, 하안주공아파트 일반상가 107호)",경기도,광명시
135,광명하안중앙점(4),"경기도 광명시 하안로 293-10 (하안동, 정산빌딩) ",경기도,광명시
136,광양덕례점,전남 광양시 광양읍 구산리 848-23 ,전남,광양시
137,광양용강점(올리브카페),전라남도 광양시 광양읍 와룡길 30-1 ,전라남도,광양시
138,광양중동점,전라남도 광양시 광장1길 21 (중동) ,전라남도,광양시
139,광양중마점,전남 광양시 중동 1540-11,전남,광양시
140,광장점,서울특별시 광진구 구의로16길 89 (구의동) 1층,서울특별시,광진구
141,광주금호점,"광주광역시 서구 금화로115번길 25 (금호동, 한국2차 도시공사2단지상가동102호",광주광역시,서구
142,광주도척점,경기도 광주시 도척면 노곡로 19 (1층),경기도,광주시
143,광주도평리점,경기도 광주시 초월읍 현산로 106 ,경기도,광주시
144,광주마재점,"광주광역시 서구 화개중앙로 55 (금호동,1층)",광주광역시,서구
145,광주매곡점,광주광역시 북구 서하로 96 (매곡동) 1층,광주광역시,북구
146,광주목포연산점,전남 목포시 산정동 1778-16,전남,목포시
147,광주백운점(express),광주광역시 남구 백운로 91-2 (백운동) 104(1층),광주광역시,남구
148,광주봉선점,광주광역시 남구 봉선중앙로 3 ,광주광역시,남구
149,광주상무점,"광주광역시 서구 상무중앙로 57 (치평동, 상무중흥S클 ",광주광역시,서구
150,광주송정점,광주광역시 광산구 광산로 5-1 (송정동) .,광주광역시,광산구
151,광주송정점(올리브카페),경기도 광주시 광주대로224번길 1 (송정동) 1층 3호,경기도,광주시
152,광주수완신가점(올리브카페),"광주광역시 광산구 수등로76번길 15 (신가동, 스타빌) 1층",광주광역시,광산구
153,광주수완장덕점(P-cafe)(3),광주광역시 광산구 풍영로 277 (장덕동) 1층,광주광역시,광산구
154,광주수완점,광주광역시 광산구 장신로 135 (수완동) 1층 109호,광주광역시,광산구
155,광주신창행운점,광주광역시 광산구 왕버들로251번길 14 (신창동) 1층,광주광역시,광산구
156,광주쌍촌점,광주광역시 서구 내방로240번길 5 (쌍촌동) 1층,광주광역시,서구
157,광주영암점,전남 영암군 영암읍 서남리 66-1번지,전남,영암군
158,광주용두점,광주 북구 양산동 910,광주,북구
159,광주용봉비엔날레점(cafe),광주 북구 용봉동 1091-4번지 엠타워 103호,광주,북구
160,광주운남점,광주 광산구 운남동 목련로 153번길 31 1층,광주,광산구
161,광주운암점(Cafe),광주 북구 운암동 959-2 1층,광주,북구
162,"광주일곡점(타변,올리브치킨)(2)",광주광역시 북구 송해로 72 1층(일곡동),광주광역시,북구
163,광주진월점,광주 남구 진월동 412-5번지,광주,남구
164,광주첨단2지구점,"광주광역시 북구 첨단연신로 250 (신용동, 첨단휴먼시 신용동,휴먼시아상가동2층203호",광주광역시,북구
165,광주첨단금호점,광주 광산구 월계동 756-6 라인5차아파트 상가-101,광주,광산구
166,광주첨단월계점,광주 광산구 월계동 813-9,광주,광산구
167,광주치평본점,"광주광역시 서구 상무자유로 173 치평동,1,2층",광주광역시,서구
168,광주풍암점,광주 서구 풍암동 1080-12,광주,서구
169,광주풍암점,광주광역시 서구 풍암1로21번길 15-13 (풍암동) 1층,광주광역시,서구
170,광주하남점,광주광역시 광산구 하남대로54번안길 3 (하남동) ,광주광역시,광산구
171,광주학운점,광주 동구 학동 676-12 보람아파트 상가 103호,광주,동구
172,광주화정점,광주광역시 서구 염화로 122 (화정동) 1층,광주광역시,서구
173,광탄점,경기 파주시 광탄면 신산리 358-17,경기,파주시
174,교대본점,서울특별시 서초구 남부순환로 339길 63(서초동 1층),서울특별시,서초구
175,교대역점(올리브카페)(3),"서울특별시 서초구 서초중앙로24길 9 (서초동, 신우빌 1층 10호",서울특별시,서초구
176,교하신도시점,"경기도 파주시 책향기로 439 (동패동, 책향기마을동문 204호",경기도,파주시
177,교현스타점(올리브치킨),충청북도 충주시 신호4길 26 (교현동) 1층,충청북도,충주시
178,구로점,서울 구로구 구로동 429-41번지,서울,구로구
179,구룡포점,경북 포항시 남구 구룡포읍 구룡포리 704-9,경북,포항시
180,구리갈매점(2)(올리브카페),"경기도 구리시 갈매중앙로 89-8 (갈매동, 로데오프라 1층 102호",경기도,구리시
181,구리교문점,경기 구리시 교문동 803,경기,구리시
182,구리수택점,경기도 구리시 이문안로99번길 24 (수택동) 1층,경기도,구리시
183,구미공단점,"경상북도 구미시 산호대로 233 (공단동, 구미BOX IN) 1층 116호",경상북도,구미시
184,구미봉곡점(올리브치킨),경상북도 구미시 봉곡북로 56 나동 1층(봉곡동),경상북도,구미시
185,구미산동점(올리브치킨2),경상북도 구미시 산동면 신당4로 17 상가2동 1층 101호(우미린센트럴파크),경상북도,구미시
186,구미석적점,경상북도 칠곡군 석적읍 동중리1길 11 ,경상북도,칠곡군
187,구미송정점,경북 구미시 송정동 80-5,경북,구미시
188,구미신평점,경북 구미시 신평동 150-49번지,경북,구미시
189,구미옥계2점,경상북도 구미시 산호대로25길 26-19 (옥계동) ,경상북도,구미시
190,구미옥계사랑점,"경북 구미시 옥계동 4공단 18-3, 6블럭 현진에버빌단지내상가1층 104",경북,구미시
191,구미원호점,경북 구미시 도량동 707-8번지 101호,경북,구미시
192,구미진평점,경북 구미시 진평동 17-6 청우빌 102,경북,구미시
193,구산동점,서울 은평구 구산동 9-9번지  1층,서울,은평구
194,구산예일점,서울 은평구 역촌동 51-79번지 1층,서울,은평구
195,구의점,"서울특별시 광진구 자양로 296 (구의동, 1층)",서울특별시,광진구
196,국수리점,경기도 양평군 양서면 경강로 1041 ,경기도,양평군
197,군산경암점(명변)(express),"전북 군산시 대명동 대명길 3, 상가동 1층 107호",전북,군산시
198,군산나운더하임점,전북 군산시 나운동 1556 보람더하임상가 가동 103호,전북,군산시
199,군산나운신도시점),전라북도 군산시 서수송2길 40 (나운동) ,전라북도,군산시
200,군산나운지곡점,전라북도 군산시 동지곡길 38 (지곡동),전라북도,군산시
201,군산나운행운점,"전라북도 군산시 수송로 37 (나운동, 나뚜루) ",전라북도,군산시
202,군산미룡점,전북 군산시 미룡동 898-1,전북,군산시
203,군산미장점,"전북 군산시 미장남로 10, 1동 105호(미장아이파크상 ",전북,군산시
204,군산산북소룡점,전북 군산시 산북동 3536-5 ,전북,군산시
205,군산수송스타점,전라북도 군산시 수송로 213 (수송동) 2층,전라북도,군산시
206,군위행복점,경상북도 군위군 군위읍 중앙길 126 ,경상북도,군위군
207,군자점,서울 광진구 군자동 364,서울,광진구
208,군포당동점,경기 군포시 당동 872-2 산본리빙스텔 107호,경기,군포시
209,군포당정동점(올리브치킨),"경기도 군포시 당정역로 8 (당정동, 대우프라자 3) 105호",경기도,군포시
210,군포부곡점,"경기도 군포시 송부로 222-1 (부곡동, 휴먼시아 5단지 104",경기도,군포시
211,굴포천점,"인천광역시 부평구 충선로203번길 16 (삼산동, 창성프 101,102호",인천광역시,부평구
212,금곡점(cafe명변),경기 남양주시 금곡동 430-34번지,경기,남양주시
213,금천시흥스타점,서울특별시 금천구 독산로40길 13 (시흥동) ,서울특별시,금천구
214,금촌새말행운점(2)(올리브카페),경기도 파주시 정담길 30 106호(아동동),경기도,파주시
215,금촌점,경기도 파주시 금정16길 6 (금촌동) 73-19,경기도,파주시
216,금호점,서울 성동구 금호동4가 128,서울,성동구
217,길동점,서울특별시 강동구 명일로 198 (길동) ,서울특별시,강동구
218,길음역점(올리브카페),"서울특별시 성북구 동소문로 248 (길음동, 삼부아파트 102동 1층 4호,5호",서울특별시,성북구
219,길음점,서울 성북구 길음동 1170,서울,성북구
220,김천부곡점,경상북도 김천시 김천로 13 (부곡동) ,경상북도,김천시
221,김천신음점,경상북도 김천시 신양4길 63 (신음동) ,경상북도,김천시
222,김천혁신율곡점(올리브치킨),"경상북도 김천시 혁신1로 75 (율곡동, 파크드림씨티써 ",경상북도,김천시
223,김천혁신점,경상북도 김천시 용전3로 15 (율곡동) ,경상북도,김천시
224,김포구래점,경기 김포시 구래동 6883-11 애플상가 105호 ,경기,김포시
225,김포대곶점,경기도 김포시 대곶면 율생로 83-20 1층,경기도,김포시
226,김포마산점(올리브치킨),"경기 김포시 마산동 김포한강8로 165,108호",경기,김포시
227,김포마송점,경기 김포시 통진읍 서암리 714-43,경기,김포시
228,김포불로점,인천 서구 불로동 불로지구39블럭 불로금호어울림상가101호,인천,서구
229,김포사우점,"경기도 김포시 사우중로74번길 39 (사우동, 다이안월 102호",경기도,김포시
230,김포양곡행운점,경기도 김포시 양촌읍 양곡2로 5-6 ,경기도,김포시
231,김포운양행복점,경기도 김포시 김포한강1로 227 (운양동) 101호(광장프라자1동),경기도,김포시
232,김포월곶점,경기도 김포시 월곶면 애기봉로 16 (1층),경기도,김포시
233,김포장기점,경기 김포시 장기동 450~1200 1916-2,경기,김포시
234,김포풍무점,"경기도 김포시 풍무로96번길 40 (풍무동, 풍무자이아 풍무자이1단지B04호",경기도,김포시
235,김포하성점(올리브카페),경기도 김포시 하성면 하성로 490 ,경기도,김포시
236,김포학운점,경기도 김포시 양촌읍 황금로48번길 5-11 ,경기도,김포시
237,김해관동점,경남 김해시 관동동 444-4 중원프라자 104호 ,경남,김해시
238,김해대성점,경남 김해시 대성동 148-3,경남,김해시
239,김해대청점(P-cafe),경상남도 김해시 계동로102번길 31 (대청동) 1층,경상남도,김해시
240,김해삼계점,경상남도 김해시 해반천로168번길 26-18 (삼계동) ,경상남도,김해시
241,김해삼문점,경남 김해시 장유면 삼문리 대동피렌체상가,경남,김해시
242,김해삼방점,경상남도 김해시 삼안로 136-1 (삼방동) 1층 ,경상남도,김해시
243,김해아이스퀘어점,경상남도 김해시 김해대로 2342 (부원동) A116호(부원역푸르지오아이스퀘어몰),경상남도,김해시
244,김해어방점,경남 김해시 어방동 503-6,경남,김해시
245,김해외동점,경남 김해시 외동 1187-13 ,경남,김해시
246,김해율하점(2)(올리브치킨),경상남도 김해시 율하2로 115번길 13 1층 110호(율하동),경상남도,김해시
247,김해장유점,경남 김해시 장유면 부곡리 805-4 104호,경남,김해시
248,까치산점,서울 강서구 화곡8동 332-12,서울,강서구
249,나보나스퀘어점(올리브카페),"충청북도 청주시 상당구 상당로 66 (문화동) 1층 102호,102호,103호,104호,105호,106호",충청북도,청주시
250,나주혁신점,전라남도 나주시 상야2길 7 (빛가람동) 114(중흥S-클래스메가티움1차1층),전라남도,나주시
251,낙산해수욕장점,강원도 양양군 강현면 일출로 43-11 ,강원도,양양군
252,낙성대점,서울 관악구 봉천11동 1640-8,서울,관악구
253,난곡점,서울 관악구 신림동 1738-1 파로스프라자 B동 제지1층 ,서울,관악구
254,남대문점(명변),서울특별시 중구 남대문시장4길 42-1 (남창동),서울특별시,중구
255,남산타운점(유변.express)(올리브치킨)(3),서울 중구 신당동 844 남산타운5상가 215호,서울,중구
256,남악대박점,전라남도 무안군 삼향읍 남악4로82번길 31 (근화베아 상가 109호,전라남도,무안군
257,남양주묵현점,경기도 남양주시 화도읍 먹갓로28번길 14 ,경기도,남양주시
258,남원점,전북 남원시 향교동 1049-4,전북,남원시
259,남지점,경상남도 창녕군 남지읍 낙동로 486 103,경상남도,창녕군
260,남해미조점,경남 남해군 미조면 미조리 100-1,경남,남해군
261,남해읍점,경상남도 남해군 남해읍 망운로 17 ,경상남도,남해군
262,남해창선점(올리브치킨),경상남도 남해군 창선면 창선로 83-1 (수협) 1층,경상남도,남해군
263,내곡포레스타점(express)(2),"서울특별시 서초구 청계산로7길 43 (신원동, 서초포레 101호",서울특별시,서초구
264,노량진점,"서울특별시 동작구 노량진로8길 53 (노량진동, 토끼바 ",서울특별시,동작구
265,노원점,서울특별시 노원구 상계로1길 62-51 (상계동) 1층,서울특별시,노원구
266,노은2지구점,대전 유성구 반석동 647-7,대전,유성구
267,노은3지구점(2)(express),대전광역시 유성구 지족로 283 (지족동) 102호,대전광역시,유성구
268,녹번점,"서울특별시 은평구 녹번로 35 (녹번동), 1층 ",서울특별시,은평구
269,논산점,충청남도 논산시 중앙로 271 (취암동),충청남도,논산시
270,논산중앙점,충청남도 논산시 번영로17번길 10-11 (취암동) 1층 101호,충청남도,논산시
271,논현중앙점(Cafe),"서울특별시 강남구 언주로136길 10 (논현동,1층)",서울특별시,강남구
272,담양메타프로방스점(express),전라남도 담양군 담양읍 깊은실길 2-13 ,전라남도,담양군
273,담양점,전남 담양군 담양읍 지침리 113-1,전남,담양군
274,당리사하점,부산광역시 사하구 제석로 59 (당리동) 1층,부산광역시,사하구
275,당산역점,"서울특별시 영등포구 당산로45길 1 (당산동5가, 당산  105호",서울특별시,영등포구
276,당산행운점,"서울특별시 영등포구 양산로 128 (당산동1가, 환희빌 ",서울특별시,영등포구
277,당진기지시점(올리브치킨),충청남도 당진시 송악읍 틀모시로 738 (힐스테이트당 ,충청남도,당진시
278,당진정미점(펀&정),충남 당진군 정미면 천의리 252-6번지,충남,당진군
279,당진합덕점(올리브치킨3)(명변),충청남도 당진시 합덕읍 미락1안길 27 ,충청남도,당진시
280,당진CGV점(2)(올리브카페),충청남도 당진시 우두로 16 (우두동) ,충청남도,당진시
281,대곡행복점,"대구광역시 달서구 도원로 48 (도원동, 별메마을 복합 104호",대구광역시,달서구
282,대관령점,강원도 평창군 대관령면 대관령로 98 ,강원도,평창군
283,대광점,경기 연천군 신서면 도신리 290-26번지,경기,연천군
284,대구구암점,대구 북구 구암동 692-13,대구,북구
285,대구남산대신점,대구 중구 남산4동 2937-1 남산그린타운 101동1호,대구,중구
286,대구내당점(올리브카페),대구광역시 서구 달서로 50 1층(내당동),대구광역시,서구
287,대구다사죽곡점,대구광역시 달성군 다사읍 대실역북로 70-1 ,대구광역시,달성군
288,대구대봉점(치킨앤비어),"대구광역시 중구 대봉로 223 (대봉동, 태양약국) 1층",대구광역시,중구
289,대구대현복현사랑점,대구 북구 복현1동 421-1번지,대구,북구
290,대구도원점,대구광역시 달서구 상화로 300-23 (도원동) ,대구광역시,달서구
291,대구동성로점(치킨앤비어),"대구광역시 중구 동성로5길 53 (삼덕동1가, 지상2,3층 ",대구광역시,중구
292,대구동천점,대구 북구 동천동 944-6,대구,북구
293,대구매천점,대구 북구 매천동 691,대구,북구
294,대구매호점,"대구광역시 수성구 천을로 181 (매호동, 협화아파트) 상가112동 101호",대구광역시,수성구
295,대구메트로점,대구광역시 수성구 만촌로 165 (만촌동) ,대구광역시,수성구
296,대구무태점,대구 북구 동변동 669-1 ,대구,북구
297,대구범물점,대구광역시 수성구 지범로 271-1 (범물동) 1층,대구광역시,수성구
298,대구범어점,대구 수성구 범어4동 330 장원상가 108동105호,대구,수성구
299,대구복현산격점,대구 북구 검단동 936-19,대구,북구
300,대구봉덕점,"대구광역시 남구 이천로 35 (봉덕동) 봉덕동,1층",대구광역시,남구
301,대구산격점,"대구광역시 북구 동북로 131 (산격동, 양우내안애아파 106-101(산격동,양우내안애아파트상가)",대구광역시,북구
302,대구상인행복점,대구 달서구 상인동 1517 영남화성타운상가 107-3호,대구,달서구
303,대구서구점,대구광역시 서구 국채보상로 316 평리롯데캐슬아파트 202-106,대구광역시,서구
304,대구성당본리점,대구광역시 달서구 장기로 176 (감삼동),대구광역시,달서구
305,대구성서본점(4)(명변),"대구광역시 달서구 선원남로 151 (용산동, 한마음아파 210동 103호",대구광역시,달서구
306,대구세천점(올리브카페)(2),대구광역시 달성군 다사읍 세천북로 28-1 1층(일부),대구광역시,달성군
307,대구송현2점,대구 달서구 송현1동 203-1  1층,대구,달서구
308,대구수성동아점,대구광역시 수성구 지범로23길 49 (지산동) ,대구광역시,수성구
309,대구수성점,대구 수성구 수성4가 1146-9,대구,수성구
310,대구수성행복점,대구 수성구 수성동2가 231-2,대구,수성구
311,대구신당1점,대구광역시 달서구 서당로 79 (신당동) 1층,대구광역시,달서구
312,대구신매점,대구 수성구 신매동 586-4,대구,수성구
313,대구신서동호점(cafe),대구 동구 신서동 805-11번지,대구,동구
314,대구신암점,대구 동구 신암1동 577~588 588-10,대구,동구
315,대구아양점(cafe)(이전.대구동구점(참숯))(2),대구광역시 동구 아양로50길 21 (효목동) ,대구광역시,동구
316,대구앞산점(올리브카페),대구광역시 남구 현충로 50 1층(대명동),대구광역시,남구
